Strain,O3,O3_err,O2,O2_err,O1,O1_err,Oid,Oid_err,lacI,lacI_err
HG104,0.798513481,0.198120663,0.175557397,0.014744062,0.038858358,0.004920869,0.007554464,0.000691174,11,2
RBS1147,0.652358571,0.157022823,0.045194627,0.002421008,0.008902231,0.001493307,0.001620103,0.000227751,30,10
RBS446,0.621029869,0.13826972,0.021511517,0.004002649,0.004720653,0.001212904,0.001003658,0.000242995,62,15
RBS1027,0.477346093,0.048084026,0.012405637,0.001388733,0.002774082,0.000492217,0.000623509,0.000101085,130,20
RBS1,0.24942587,0.077997887,0.00570016,0.001057658,0.001508302,0.000472827,0.000291412,6.34E-05,610,80
1I,0.174314012,0.016456549,0.004626408,0.00050946,0.001100284,0.000219991,0.000179902,5.20E-05,870,170
